Producent,Nazwa,Moc,Pasmo,Protokół,Kanały,Wentylator,Mocowanie,Złącze,Kolor główny,Kolor dodatkowy,Sygnalizacja,Zdjęcie,Zdjęcie2,Zdjęcie3,Wygeneruj konfigurację,Strona producenta,Instrukcja,Dodatkowo:,"{bd, h}",{h},col23,col24,col25,col26,col27
Rush,Max Solo,2.5W,"5.8G, 4.9G",Smart Audio,48Ch,Wbudowany,Brak,MMCX,Czarny,Czerwony,Diody LED,pic/rush_max_solo_pic1.webp,,pic/rush_max_solo_pic3.webp,#generator-ustawien-vtx?vtx=rush_max_solo_2.5w_(%2B_x-band),https://rushfpv.net/products/rushfpv-max-solo-vtx,manuals/Rush_MaxSolo2_5W_5_8G.pdf,Ograniczona obsługa 4.9G. Kanał X-1 nie działa bez modyfikacji Betaflight,,777,,,,,
Rush,Max Solo X-band,2.5W,4.9G,IRC Tramp,8Ch,Wbudowany,Brak,MMCX,Czarny,Czerwony,Diody LED,pic/rush_max_solo_x-band_pic1.webp,,pic/rush_max_solo_x-band_pic3.webp,#generator-ustawien-vtx?vtx=rush_max_solo_xband_4.9g_2.5w,https://rushfpv.net/products/max-solo-xband-4-9g-vtx-2-5w,,,,,,,,,
Rush,Tank Solo,1.6W,5.8G,Smart Audio,48Ch,Brak,20x20,MMCX,Czarny,Czerwony,Diody LED,pic/rush_tank_solo_pic1.webp,,,#generator-ustawien-vtx?vtx=rush_tank_solo_1.6w,https://rushfpv.net/products/tank-solo-vtx,manuals/Istrukciya_RUSH-TANK-SOLO.pdf,,,,,,,,
Rush,Dual-Band VTX,2.5W,"5.8G, 4.9G",IRC Tramp,56Ch,Wbudowany,Brak,SMA,Czarny,Czerwony,Diody LED,pic/rush_dual-band_vtx_pic1.webp,pic/rush_dual-band_vtx_pic2.webp,pic/rush_dual-band_vtx_pic3.webp,#generator-ustawien-vtx?vtx=rush_4.9g%2F5.8g_2.5w_dual-band_56ch,https://rushfpv.net/products/5-8g-4-9g-dual-band-vtx-transmitter-module,,,,,,,,,
Rush,XSPAN 4.8G-6.1G,4W,"5.8G, 4.9G, 6.1G",IRC Tramp,96Ch,Wbudowany,Brak,SMA,Czarny,Czerwony,Diody LED,pic/rush_xspan_4.8g-6.1g_pic1.webp,pic/rush_xspan_4.8g-6.1g_pic2.webp,pic/rush_xspan_4.8g-6.1g_pic3.webp,,https://rushfpv.net/products/4-8-6-1g-broadband-vtx-transmitter-module,,,,,,,,,
Rush,XSPAN 4.9G-6.0G,10W,"5.8G, 4.9G",IRC Tramp,80Ch,Wbudowany,20x20,SMA,Czarny,Czerwony,Ekran,pic/rush_xspan_4.9g-6.0g_pic1.webp,pic/rush_xspan_4.9g-6.0g_pic2.webp,pic/rush_xspan_4.9g-6.0g_pic3.webp,,https://rushfpv.net/products/4-9g-6-0g-xspan-10w-vtx-transmitter-module,,,,,,,,,
Rush,XSPAN 6.1G-7.2G,3W,"6.1G, 7G +",IRC Tramp,64Ch,Wbudowany,Brak,SMA,Czarny,Czerwony,Diody LED,pic/rush_xspan_6.1g-7.2g_pic1.webp,pic/rush_xspan_6.1g-7.2g_pic2.webp,pic/rush_xspan_6.1g-7.2g_pic3.webp,,https://rushfpv.net/products/6-1g-7-2g-3w-vtx-transmitter-module,,,,,,,,,
Rush,3.3G,2W,3.3G,IRC Tramp,8Ch,Brak,20x20,SMA,Czarny,Biały,Diody LED,pic/rush_3.3g_pic1.webp,,,#generator-ustawien-vtx?vtx=rush_3.3g_2w_(band_a),https://rushfpv.net/products/3-3g-2w-vtx-transmitter-module-%E5%A4%8D%E5%88%B6?variant=46120333246634,,,,,,,,,
Rush,3.3G,4W,3.3G,IRC Tramp,16Ch,Wbudowany,Brak,SMA,Czarny,Czerwony,Diody LED,pic/rush_3.3g_2_pic1.webp,,pic/rush_3.3g_2_pic3.webp,#generator-ustawien-vtx?vtx=rush_3.3g_4w,https://rushfpv.net/products/3-3g-4w-vtx-transmitter-module,,,,,,,,,
Rush,1.2/1.3,1.6W,1.2G,Brak,9Ch,Brak,Brak,U.FL/IPEX,Czarny,Biały,Diody LED,pic/rush_1.2_1.3_pic1.webp,pic/rush_1.2_1.3_pic2.webp,,,https://rushfpv.net/products/1-6w-1-3g,,,,,,,,,
Rush,1.2/1.3,4W,1.2G,IRC Tramp,8Ch,Brak,Brak,SMA,Metaliczny,Biały,Diody LED,pic/rush_1.2_1.3_2_pic1.webp,,pic/rush_1.2_1.3_2_pic3.webp,#generator-ustawien-vtx?vtx=rush_1.2%2F1.3ghz_4w,,,,,,,,,,
Rush,1.2/1.3 V2,4W,1.2G,IRC Tramp,16Ch,Wbudowany,Brak,SMA,Czarny,Czerwony,Diody LED,pic/rush_1.2_1.3_v2_pic1.webp,pic/rush_1.2_1.3_v2_pic2.webp,pic/rush_1.2_1.3_v2_pic3.webp,#generator-ustawien-vtx?vtx=rush_1.2%2F1.3ghz_4w_v2,https://rushfpv.net/products/1-3g-4w-vtx-v2-transmitter-module,manuals/13g_4w_vtx_v2_manual.pdf,,,,,,,,
Rush,1.3G/3.3G Dual-Band,2.5W,"1.2G, 3.3G",IRC Tramp,32Ch,Wbudowany,Brak,SMA,Czarny,Czerwony,Diody LED,pic/rush_1.3g_3.3g_dual-band_pic1.webp,pic/rush_1.3g_3.3g_dual-band_pic2.webp,pic/rush_1.3g_3.3g_dual-band_pic3.webp,#generator-ustawien-vtx?vtx=rush_1.3g%2F3.3g_dual-band_32ch,https://rushfpv.net/products/1-3g-3-3g-dual-band-vtx-transmitter-module,manuals/rushfpv_transmitter_vtx_13g_33g_manual.pdf,,,,,,,,
Foxeer,Reaper extreme v1,2.5W,5.8G,IRC Tramp,40Ch,Brak,20x20,MMCX,Czarny,Biały,Diody LED,pic/foxeer_reaper_extreme_v1_pic1.webp,,pic/foxeer_reaper_extreme_v1_pic3.webp,#generator-ustawien-vtx?vtx=foxeer_reaper_extreme_2.5w_v1_40ch,,,,,,,,,,
Foxeer,Reaper extreme v2,2.5W,5.8G,IRC Tramp,72Ch,Brak,20x20,MMCX,Czarny,Biały,Diody LED,pic/foxeer_reaper_extreme_v2_pic1.webp,,pic/foxeer_reaper_extreme_v2_pic3.webp,#generator-ustawien-vtx?vtx=foxeer_reaper_extreme_2.5w_v2_72ch,,manuals/foxeer_reaper_extreme_v2_manual.pdf,,,,,,,,
Foxeer,Reaper extreme v2,1.8W,5.8G,IRC Tramp,72Ch,Brak,20x20,MMCX,Czarny,Biały,Diody LED,pic/foxeer_reaper_extreme_v2_2_pic1.webp,pic/foxeer_reaper_extreme_v2_2_pic2.webp,,#generator-ustawien-vtx?vtx=foxeer_reaper_extreme_1.8w_72ch,https://www.foxeer.com/foxeer-5-8g-reaper-extreme-1-8w-72ch-vtx-g-574,manuals/Foxeer_Reaper_Extreme_VTX_Manual_1.8W.pdf,,,,,,,,
