;;;;
Distance;Drop;Windage;Velocity;Energy
(m);(cm);(cm);(m/sec);(J)
0;-0.0;-7.0;900.0;1443.4
10;-0.1;-5.3;886.6;1400.7
20;-0.2;-3.6;873.3;1359.1
30;-0.6;-1.8;860.2;1318.5
40;-1.0;-0.1;847.2;1278.9
50;-1.6;1.6;834.3;1240.3
60;-2.3;3.3;821.5;1202.6
70;-3.2;5.0;808.9;1165.9
80;-4.2;6.7;796.4;1130.1
90;-5.4;8.5;783.9;1095.1
100;-6.7;10.2;771.6;1061.1
110;-8.2;11.9;759.5;1027.8
120;-9.9;13.6;747.4;995.4
130;-11.7;15.3;735.4;963.8
140;-13.8;17.1;723.6;932.9
150;-16.0;18.8;711.8;902.9
160;-18.4;20.5;700.2;873.5
170;-21.0;22.2;688.6;845.0
180;-23.8;23.9;677.2;817.1
190;-26.8;25.7;665.8;790.0
200;-30.1;27.4;654.6;763.6
210;-33.5;29.1;643.5;737.9
220;-37.3;30.8;632.5;712.8
230;-41.2;32.5;621.6;688.5
240;-45.4;34.2;610.8;664.8
250;-49.9;36.0;600.1;641.7
260;-54.7;37.7;589.5;619.3
270;-59.7;39.4;579.1;597.6
280;-65.0;41.1;568.8;576.4
290;-70.6;42.8;558.6;555.9
300;-76.6;44.6;548.5;536.1
310;-82.8;46.3;538.5;516.8
320;-89.5;48.0;528.7;498.1
330;-96.4;49.7;519.0;480.0
340;-103.7;51.4;509.5;462.6
350;-111.4;53.1;500.1;445.6
360;-119.5;54.9;490.8;429.3
370;-128.0;56.6;481.7;413.6
380;-136.9;58.3;472.8;398.4
390;-146.3;60.0;464.0;383.7
400;-156.1;61.7;455.4;369.6
410;-166.4;63.5;447.0;356.1
420;-177.2;65.2;438.8;343.1
430;-188.5;66.9;430.7;330.6
440;-200.3;68.6;422.8;318.6
450;-212.6;70.3;415.2;307.2
460;-225.6;72.0;407.7;296.2
470;-239.1;73.8;400.5;285.8
480;-253.2;75.5;393.5;275.9
490;-268.0;77.2;386.7;266.4
500;-283.4;78.9;380.1;257.4
